supplier,sku,quantity,unit_price,status,order_date,expected_date,notes
Theta Electronics,RACK-9169,1821,134.86,APPROVED,2025-02-18,2025-03-29,Promotional order
Mu Engineering Corp,LIGHT-7732,4238,17.94,RECEIVED,2025-04-26,2025-05-25,Quarterly restock
Xi Industrial Supply,PACK-6794,4329,9.28,PARTIAL,2025-01-25,2025-03-07,Urgent requirement
Theta Electronics,RACK-6050,3466,16.78,DRAFT,2025-02-20,2025-03-10,Quarterly restock
Theta Electronics,PACK-0222,1702,3.18,DRAFT,2025-10-15,2025-11-21,Urgent requirement
Kappa Machinery Works,CABLE-9181,342,130.26,ORDERED,2025-03-31,2025-04-23,Quarterly restock
Lambda Tools & Dies,ELEC-3538,3918,11.02,PENDING_APPROVAL,2026-05-26,2026-07-08,Promotional order
Kappa Machinery Works,BATT-2358,3389,18.08,CANCELLED,2025-12-02,2025-12-25,Quarterly restock
Theta Electronics,SEAL-2064,2068,132.29,RECEIVED,2026-06-08,2026-06-28,Quarterly restock
Nu Systems Inc,CASE-0488,3911,16.78,PARTIAL,2025-03-29,2025-04-27,Standard order
Lambda Tools & Dies,SEAL-1234,4155,11.65,PARTIAL,2025-02-01,2025-03-18,Urgent requirement
Epsilon Industrial,WIDGET-3406,1943,10.61,ORDERED,2025-05-31,2025-06-24,Backfill stock
Zeta Fabrication,CABLE-3043,4014,5.46,PENDING_APPROVAL,2026-02-04,2026-03-14,Promotional order
Nu Systems Inc,CABLE-7936,1520,17.37,DRAFT,2025-11-19,2025-12-18,Promotional order
Gamma Raw Materials,FILTER-0823,839,10.20,PARTIAL,2025-07-12,2025-07-30,
Epsilon Industrial,PACK-1583,749,9.11,RECEIVED,2025-03-12,2025-04-15,Urgent requirement
Iota Hardware Solutions,PACK-2843,2476,208.74,DRAFT,2025-08-19,2025-09-07,
Eta Packaging Co,WIDGET-5588,3853,34.12,RECEIVED,2026-02-20,2026-03-24,Backfill stock
Omicron Materials Tech,GLOVE-1077,815,14.39,PENDING_APPROVAL,2025-01-04,2025-02-09,Quarterly restock
Delta Parts Supply,RACK-1945,4825,19.02,ORDERED,2025-12-04,2026-01-03,Urgent requirement
Nu Systems Inc,SEAL-3561,3594,202.12,CANCELLED,2026-06-05,2026-07-03,Standard order
Eta Packaging Co,LABEL-6890,3004,3.92,CANCELLED,2025-03-19,2025-05-03,
Xi Industrial Supply,SEAL-9590,3677,8.03,PENDING_APPROVAL,2025-05-22,2025-06-10,
Epsilon Industrial,CASE-9374,4746,4.02,CANCELLED,2025-10-24,2025-11-15,
Lambda Tools & Dies,WIDGET-4407,1664,26.76,APPROVED,2025-04-17,2025-05-20,Quarterly restock
Eta Packaging Co,LIGHT-1961,4125,5.92,APPROVED,2025-10-07,2025-10-23,Quarterly restock
Gamma Raw Materials,ELEC-3047,2520,11.56,DRAFT,2026-05-07,2026-05-26,Standard order
Lambda Tools & Dies,RACK-0463,1955,21.99,DRAFT,2026-04-10,2026-05-07,Standard order
Alpha Components Ltd,BATT-9682,3042,134.18,PARTIAL,2025-12-01,2025-12-08,Promotional order
Delta Parts Supply,BATT-7766,878,10.34,PENDING_APPROVAL,2025-11-27,2025-12-09,Promotional order
Zeta Fabrication,PRINT-6988,1702,13.47,DRAFT,2026-03-27,2026-04-07,Standard order
Omicron Materials Tech,PACK-3773,1652,3.39,RECEIVED,2025-03-29,2025-04-27,Backfill stock
Xi Industrial Supply,LIGHT-3984,4194,55.76,DRAFT,2026-05-12,2026-06-14,Quarterly restock
Mu Engineering Corp,CABLE-0535,3310,127.97,RECEIVED,2025-09-18,2025-10-16,Urgent requirement
Gamma Raw Materials,UNIF-4975,2889,5.08,PARTIAL,2026-03-04,2026-04-16,Standard order
Nu Systems Inc,RACK-8426,748,8.22,APPROVED,2025-10-28,2025-12-12,Promotional order
Beta Manufacturing Inc,CASE-5280,2088,2.80,PENDING_APPROVAL,2025-08-11,2025-09-20,
Beta Manufacturing Inc,AUDIO-6788,3867,12.81,DRAFT,2026-03-18,2026-03-31,
Xi Industrial Supply,WIDGET-5222,2283,100.19,RECEIVED,2025-01-21,2025-02-27,Promotional order
Eta Packaging Co,GLOVE-1282,1090,16.20,ORDERED,2025-01-05,2025-02-07,
Delta Parts Supply,TOOL-2853,934,6.69,CANCELLED,2025-11-06,2025-11-13,
Kappa Machinery Works,LABEL-2301,4916,7.33,PENDING_APPROVAL,2025-02-23,2025-03-19,Standard order
Iota Hardware Solutions,SEAL-2781,1650,47.08,DRAFT,2026-01-22,2026-02-26,
Zeta Fabrication,CART-6310,2162,17.78,DRAFT,2025-04-30,2025-06-14,Quarterly restock
Lambda Tools & Dies,PACK-5645,2071,33.11,APPROVED,2025-12-01,2025-12-08,Backfill stock
Eta Packaging Co,ELEC-7119,969,12.17,PARTIAL,2025-10-06,2025-10-16,Promotional order
Kappa Machinery Works,LABEL-2060,3151,10.51,APPROVED,2026-03-27,2026-04-29,Urgent requirement
Kappa Machinery Works,CASE-1459,2163,9.18,RECEIVED,2025-03-05,2025-04-03,
Delta Parts Supply,SEAL-0922,1836,16.07,APPROVED,2025-06-14,2025-07-23,Quarterly restock
Delta Parts Supply,ELEC-3443,1267,471.53,ORDERED,2026-05-13,2026-06-21,Promotional order
Omicron Materials Tech,CASE-3321,2990,161.95,RECEIVED,2026-01-09,2026-02-22,Standard order
Xi Industrial Supply,SCAN-7590,3868,2.69,APPROVED,2026-06-09,2026-07-11,Quarterly restock
Gamma Raw Materials,FILTER-4420,1906,16.15,PENDING_APPROVAL,2026-03-08,2026-04-09,Quarterly restock
Iota Hardware Solutions,GLOVE-1589,679,6.74,CANCELLED,2026-03-24,2026-04-23,Promotional order
Lambda Tools & Dies,FILTER-9781,2776,4.46,PARTIAL,2025-10-03,2025-11-02,Urgent requirement
Eta Packaging Co,RACK-8543,2809,19.16,PENDING_APPROVAL,2025-09-27,2025-11-07,
Delta Parts Supply,GADGET-9941,4750,6.48,PARTIAL,2025-12-08,2026-01-04,Backfill stock
Beta Manufacturing Inc,LABEL-9510,1724,413.85,PENDING_APPROVAL,2025-03-29,2025-04-24,Standard order
Epsilon Industrial,BATT-1167,2968,20.78,CANCELLED,2025-02-03,2025-03-19,
Theta Electronics,PACK-2409,2600,6.88,APPROVED,2026-05-22,2026-06-14,Urgent requirement
Epsilon Industrial,WIDGET-6063,1351,15.81,ORDERED,2025-01-21,2025-02-09,
Epsilon Industrial,LABEL-7062,3165,36.89,ORDERED,2026-03-29,2026-05-11,
Zeta Fabrication,TOOL-0008,4824,10.77,RECEIVED,2025-12-29,2026-01-11,Backfill stock
Alpha Components Ltd,GLOVE-2779,1921,17.69,ORDERED,2025-04-16,2025-05-16,Urgent requirement
Epsilon Industrial,ELEC-1025,4138,37.69,PARTIAL,2025-06-05,2025-06-20,Urgent requirement
Kappa Machinery Works,CABLE-5206,771,19.63,DRAFT,2025-07-03,2025-08-16,
Alpha Components Ltd,TOOL-1535,2539,16.92,RECEIVED,2026-04-02,2026-04-20,Urgent requirement
Mu Engineering Corp,PACK-6065,2687,8.73,PARTIAL,2025-07-12,2025-07-20,Backfill stock
Kappa Machinery Works,GLOVE-5652,3982,10.40,PARTIAL,2025-10-17,2025-11-11,Quarterly restock
Xi Industrial Supply,PACK-3800,1652,21.17,PENDING_APPROVAL,2025-11-11,2025-12-14,
Beta Manufacturing Inc,RACK-0689,1747,11.52,CANCELLED,2025-02-24,2025-04-07,Quarterly restock
Epsilon Industrial,TOOL-3416,387,32.69,DRAFT,2026-02-20,2026-03-15,Backfill stock
Nu Systems Inc,RACK-0673,1699,5.53,PARTIAL,2025-09-06,2025-10-01,Standard order
Theta Electronics,GLOVE-3186,1720,12.22,RECEIVED,2025-08-28,2025-09-06,
Beta Manufacturing Inc,CART-2489,868,256.55,PENDING_APPROVAL,2025-04-05,2025-05-06,Urgent requirement
Omicron Materials Tech,SEAL-3086,4711,71.07,DRAFT,2026-06-25,2026-07-26,
Lambda Tools & Dies,UNIF-1860,745,11.44,DRAFT,2025-06-07,2025-06-29,Promotional order
Omicron Materials Tech,PACK-9457,3979,24.92,PENDING_APPROVAL,2025-12-31,2026-02-04,
Delta Parts Supply,PACK-6932,2586,15.95,DRAFT,2025-07-13,2025-08-11,Backfill stock
Omicron Materials Tech,LABEL-3029,4337,8.76,PARTIAL,2026-02-06,2026-02-23,Backfill stock
Nu Systems Inc,WIDGET-2570,1946,18.64,PARTIAL,2025-05-28,2025-06-07,Promotional order
Beta Manufacturing Inc,GLOVE-5653,666,20.88,PARTIAL,2025-02-15,2025-04-01,Urgent requirement
Lambda Tools & Dies,LIGHT-5984,3976,9.83,ORDERED,2025-09-05,2025-10-03,Promotional order
Kappa Machinery Works,PRINT-1469,251,7.69,ORDERED,2025-08-20,2025-09-10,Promotional order
Omicron Materials Tech,UNIF-3020,3692,8.01,APPROVED,2025-08-10,2025-09-04,Urgent requirement
Xi Industrial Supply,BATT-4915,4772,6.45,PARTIAL,2025-06-25,2025-07-17,
Iota Hardware Solutions,PACK-5427,1544,9.32,RECEIVED,2025-04-25,2025-05-25,Backfill stock
Epsilon Industrial,CASE-9021,2589,15.56,DRAFT,2026-04-03,2026-04-27,Urgent requirement
Zeta Fabrication,ELEC-9001,3869,26.75,RECEIVED,2025-05-18,2025-06-04,Standard order
Mu Engineering Corp,PRINT-7407,3787,19.61,DRAFT,2025-05-18,2025-06-16,Backfill stock
Mu Engineering Corp,PRINT-9782,4388,115.83,DRAFT,2025-08-02,2025-08-20,Urgent requirement
Mu Engineering Corp,CHARG-1734,477,47.51,PENDING_APPROVAL,2026-06-05,2026-06-16,Urgent requirement
Gamma Raw Materials,SCAN-7437,1461,63.22,CANCELLED,2026-04-04,2026-05-01,
Omicron Materials Tech,ELEC-2552,3583,18.47,RECEIVED,2025-02-27,2025-04-06,
Nu Systems Inc,PRINT-3467,1752,12.58,PENDING_APPROVAL,2025-12-24,2026-01-06,
Eta Packaging Co,SEAL-7159,4412,470.00,DRAFT,2025-06-18,2025-07-26,Backfill stock
Eta Packaging Co,BATT-1617,1753,17.26,PARTIAL,2025-12-22,2026-02-02,Quarterly restock
Lambda Tools & Dies,SCAN-6022,3309,3.59,DRAFT,2025-06-25,2025-08-09,
Xi Industrial Supply,SCAN-0539,4829,89.85,APPROVED,2025-03-18,2025-04-13,
Zeta Fabrication,LIGHT-7193,3552,33.06,CANCELLED,2025-06-29,2025-07-28,
Omicron Materials Tech,CASE-8324,2949,145.70,APPROVED,2026-05-25,2026-06-28,
Kappa Machinery Works,PACK-5297,4118,16.33,APPROVED,2025-05-01,2025-06-12,
Xi Industrial Supply,PACK-0857,3296,6.23,CANCELLED,2026-02-28,2026-03-24,
Beta Manufacturing Inc,ELEC-6129,4849,120.31,PARTIAL,2025-05-21,2025-06-18,
Iota Hardware Solutions,LABEL-0046,2592,58.19,ORDERED,2026-05-27,2026-06-25,Urgent requirement
Xi Industrial Supply,CART-0772,2502,9.38,DRAFT,2026-02-04,2026-02-25,Quarterly restock
Iota Hardware Solutions,PACK-0519,2472,25.38,CANCELLED,2026-04-21,2026-05-19,Urgent requirement
Xi Industrial Supply,PRINT-2667,276,235.30,PENDING_APPROVAL,2025-12-09,2025-12-27,Standard order
Gamma Raw Materials,AUDIO-9193,152,15.48,RECEIVED,2025-10-16,2025-11-08,
Omicron Materials Tech,CABLE-8071,3146,104.58,RECEIVED,2025-04-09,2025-05-04,
Epsilon Industrial,RACK-7722,800,32.04,PENDING_APPROVAL,2025-12-03,2025-12-27,
Nu Systems Inc,CART-9803,2019,138.78,RECEIVED,2025-08-21,2025-09-18,Backfill stock
Kappa Machinery Works,SCAN-9879,595,7.76,PENDING_APPROVAL,2025-12-23,2026-02-06,
Gamma Raw Materials,CABLE-9014,3928,160.76,DRAFT,2025-05-13,2025-05-20,Urgent requirement
Beta Manufacturing Inc,CART-1472,4117,24.78,ORDERED,2025-09-13,2025-09-24,Standard order
Beta Manufacturing Inc,CASE-9949,3517,99.44,CANCELLED,2025-01-27,2025-03-11,Standard order
Omicron Materials Tech,GADGET-5153,73,12.02,CANCELLED,2025-11-26,2026-01-10,
Lambda Tools & Dies,ELEC-7411,2255,30.41,RECEIVED,2026-01-06,2026-02-13,
Nu Systems Inc,UNIF-3407,2194,10.60,RECEIVED,2025-10-07,2025-10-24,Standard order
Alpha Components Ltd,CASE-2670,186,20.03,CANCELLED,2025-04-02,2025-05-11,Quarterly restock
Iota Hardware Solutions,PRINT-6670,2675,15.41,CANCELLED,2026-04-22,2026-06-03,
Gamma Raw Materials,FILTER-5390,335,4.85,APPROVED,2025-05-04,2025-06-18,Urgent requirement
Kappa Machinery Works,LIGHT-7504,3078,20.69,DRAFT,2026-03-30,2026-05-13,
Lambda Tools & Dies,WIDGET-6586,809,7.75,DRAFT,2025-08-05,2025-09-04,Standard order
Gamma Raw Materials,CART-4302,4609,17.84,PARTIAL,2025-11-17,2025-12-17,
Iota Hardware Solutions,BATT-7937,3843,40.39,PARTIAL,2025-05-15,2025-05-30,
Kappa Machinery Works,ELEC-6138,3233,104.23,APPROVED,2025-01-30,2025-03-05,Urgent requirement
Xi Industrial Supply,UNIF-2918,4124,6.37,DRAFT,2025-06-23,2025-07-14,
Xi Industrial Supply,TOOL-2253,272,497.30,APPROVED,2026-01-10,2026-02-23,
Kappa Machinery Works,ELEC-5478,3894,20.27,PARTIAL,2025-09-25,2025-10-14,
Omicron Materials Tech,PRINT-6933,1691,18.57,PARTIAL,2026-06-09,2026-07-03,Standard order
Delta Parts Supply,CART-7759,4381,17.22,DRAFT,2026-06-13,2026-06-25,Standard order
Beta Manufacturing Inc,AUDIO-3829,3926,418.64,RECEIVED,2025-06-13,2025-07-03,Promotional order
Beta Manufacturing Inc,CHARG-3853,1413,12.48,ORDERED,2025-01-13,2025-02-18,Standard order
Gamma Raw Materials,GLOVE-8245,4024,65.23,PENDING_APPROVAL,2026-06-07,2026-07-15,Urgent requirement
Xi Industrial Supply,UNIF-1124,1622,13.03,DRAFT,2026-06-04,2026-06-20,Quarterly restock
Omicron Materials Tech,GADGET-5002,2359,8.25,CANCELLED,2025-09-02,2025-09-29,Standard order
Kappa Machinery Works,GLOVE-8437,4652,25.35,APPROVED,2025-12-28,2026-02-03,Standard order
Nu Systems Inc,GADGET-4767,1206,22.43,PARTIAL,2025-01-18,2025-01-25,Quarterly restock
Iota Hardware Solutions,CASE-2689,1140,16.58,ORDERED,2025-02-14,2025-02-28,Promotional order
Xi Industrial Supply,PRINT-1568,2004,14.95,APPROVED,2025-08-03,2025-08-26,Urgent requirement
Delta Parts Supply,GADGET-5594,3924,84.65,RECEIVED,2025-04-04,2025-05-12,Promotional order
Delta Parts Supply,AUDIO-5693,4314,30.13,PARTIAL,2025-06-17,2025-07-04,Urgent requirement
Beta Manufacturing Inc,PRINT-5484,1327,532.07,RECEIVED,2026-05-14,2026-06-16,
Epsilon Industrial,PACK-2879,716,17.88,ORDERED,2025-01-09,2025-01-19,
Gamma Raw Materials,GADGET-8424,1171,29.64,APPROVED,2025-01-11,2025-02-16,
Eta Packaging Co,CASE-5536,1795,5.80,PARTIAL,2025-05-11,2025-05-25,Promotional order
Omicron Materials Tech,FILTER-0719,872,23.51,APPROVED,2026-01-22,2026-03-04,
Alpha Components Ltd,RACK-2173,4665,21.31,PARTIAL,2025-10-20,2025-11-28,Backfill stock
Zeta Fabrication,CHARG-9568,2327,65.85,APPROVED,2025-10-29,2025-12-04,Quarterly restock
Lambda Tools & Dies,GADGET-4733,4059,25.07,APPROVED,2025-05-09,2025-05-22,
Xi Industrial Supply,PACK-6749,1941,88.02,DRAFT,2025-09-27,2025-10-28,
Beta Manufacturing Inc,CASE-4933,2168,21.78,CANCELLED,2026-01-07,2026-02-14,Backfill stock
Iota Hardware Solutions,TOOL-4791,2656,55.60,RECEIVED,2026-06-08,2026-07-17,
Epsilon Industrial,PACK-5211,190,274.08,DRAFT,2025-09-14,2025-10-06,Standard order
Theta Electronics,CART-4813,1321,40.27,PARTIAL,2025-04-11,2025-05-02,
Mu Engineering Corp,SCAN-8180,2837,22.73,PARTIAL,2025-08-08,2025-09-15,
Theta Electronics,CABLE-7231,1049,4.72,PENDING_APPROVAL,2025-06-17,2025-07-10,Standard order
Gamma Raw Materials,FILTER-0025,1717,9.63,APPROVED,2025-04-11,2025-04-29,Backfill stock
Theta Electronics,CABLE-2957,1930,6.98,DRAFT,2026-04-01,2026-04-27,Standard order
Kappa Machinery Works,GLOVE-5662,1823,9.22,RECEIVED,2025-02-23,2025-03-29,Promotional order
Gamma Raw Materials,AUDIO-9761,4999,279.72,PARTIAL,2026-05-17,2026-06-22,Promotional order
Delta Parts Supply,PACK-2610,844,22.77,PARTIAL,2025-07-13,2025-08-18,
Zeta Fabrication,CART-2937,3450,38.86,DRAFT,2026-06-25,2026-08-09,Backfill stock
Nu Systems Inc,PACK-1640,549,264.94,CANCELLED,2026-06-04,2026-07-17,Standard order
Iota Hardware Solutions,ELEC-1634,4978,408.64,PARTIAL,2025-05-03,2025-06-10,Promotional order
Epsilon Industrial,CABLE-0034,3422,19.70,RECEIVED,2025-11-23,2025-12-21,Promotional order
Nu Systems Inc,CASE-3203,1586,11.53,ORDERED,2025-04-12,2025-05-27,
Gamma Raw Materials,PRINT-0207,2265,42.42,CANCELLED,2025-08-09,2025-08-27,Backfill stock
Gamma Raw Materials,CHARG-3211,311,11.75,DRAFT,2026-04-16,2026-05-07,Standard order
Eta Packaging Co,LIGHT-3630,1145,11.91,DRAFT,2026-06-13,2026-07-21,Quarterly restock
Epsilon Industrial,CHARG-7867,4168,127.75,RECEIVED,2025-01-30,2025-03-09,Standard order
Omicron Materials Tech,CABLE-1370,1418,5.23,CANCELLED,2026-03-19,2026-05-03,Standard order
Alpha Components Ltd,CABLE-4970,963,116.57,CANCELLED,2025-07-03,2025-08-09,Quarterly restock
Epsilon Industrial,CASE-5898,1495,65.89,PARTIAL,2025-03-20,2025-04-18,Quarterly restock
Xi Industrial Supply,CART-3449,748,22.00,PARTIAL,2026-04-20,2026-05-28,
Beta Manufacturing Inc,SEAL-6647,2985,43.96,PARTIAL,2025-02-19,2025-03-01,
Epsilon Industrial,CASE-0342,1229,5.84,DRAFT,2025-04-30,2025-05-15,Promotional order
Beta Manufacturing Inc,PACK-2255,2831,10.65,DRAFT,2025-02-04,2025-02-12,Promotional order
Eta Packaging Co,SEAL-8806,2907,12.87,PENDING_APPROVAL,2026-05-02,2026-05-24,Backfill stock
Xi Industrial Supply,LABEL-1493,4529,16.80,APPROVED,2026-05-30,2026-06-10,
Delta Parts Supply,GADGET-2890,927,15.55,DRAFT,2025-06-12,2025-07-01,
Delta Parts Supply,GLOVE-2198,2755,28.25,PARTIAL,2026-06-18,2026-06-27,Promotional order
Nu Systems Inc,TOOL-0864,1313,5.81,ORDERED,2025-01-26,2025-02-25,Urgent requirement
Eta Packaging Co,LABEL-4831,4612,16.05,PENDING_APPROVAL,2025-06-06,2025-07-19,Quarterly restock
Zeta Fabrication,CASE-6445,2807,14.96,PENDING_APPROVAL,2025-03-20,2025-04-23,Standard order
Epsilon Industrial,PACK-5799,4925,33.09,APPROVED,2025-08-19,2025-09-17,Backfill stock
Gamma Raw Materials,LIGHT-7225,1354,21.93,ORDERED,2026-01-29,2026-02-13,Quarterly restock
Eta Packaging Co,GLOVE-6388,655,13.82,ORDERED,2025-01-13,2025-02-06,
Nu Systems Inc,FILTER-2722,1219,12.25,PENDING_APPROVAL,2025-02-14,2025-03-16,
Epsilon Industrial,CABLE-6001,2417,66.14,DRAFT,2026-01-20,2026-02-13,Promotional order
Theta Electronics,TOOL-6524,377,131.34,CANCELLED,2026-06-08,2026-07-16,Promotional order
Beta Manufacturing Inc,ELEC-7016,430,31.69,CANCELLED,2025-12-18,2026-01-09,
Gamma Raw Materials,TOOL-1571,2654,16.86,APPROVED,2025-01-05,2025-01-17,
Alpha Components Ltd,CHARG-3501,3861,535.62,DRAFT,2026-06-22,2026-07-25,Urgent requirement
Iota Hardware Solutions,UNIF-3948,2822,9.78,APPROVED,2025-12-27,2026-02-04,Promotional order
Eta Packaging Co,CHARG-5255,2203,230.56,APPROVED,2026-04-05,2026-05-18,
Epsilon Industrial,CABLE-5726,2445,63.16,RECEIVED,2025-03-01,2025-03-27,Promotional order
Eta Packaging Co,UNIF-2746,3961,28.84,APPROVED,2026-05-22,2026-07-01,
Alpha Components Ltd,LABEL-8561,3581,13.16,CANCELLED,2025-11-22,2025-12-13,Urgent requirement
Nu Systems Inc,UNIF-1753,2782,7.21,CANCELLED,2026-02-18,2026-03-25,Backfill stock
Zeta Fabrication,ELEC-1762,4985,48.22,CANCELLED,2025-06-12,2025-07-07,
Theta Electronics,TOOL-9220,4911,6.65,PENDING_APPROVAL,2025-08-10,2025-09-14,Standard order
Alpha Components Ltd,WIDGET-2407,3065,475.31,PENDING_APPROVAL,2025-11-22,2025-12-03,
Zeta Fabrication,LABEL-0911,3050,21.10,DRAFT,2025-09-09,2025-10-10,Standard order
Delta Parts Supply,PRINT-0330,583,10.40,ORDERED,2025-10-08,2025-10-21,
Gamma Raw Materials,RACK-4735,631,33.16,ORDERED,2025-12-02,2026-01-11,Urgent requirement
Eta Packaging Co,RACK-3640,1309,10.40,APPROVED,2025-02-10,2025-02-21,Standard order
Theta Electronics,TOOL-3107,327,132.72,ORDERED,2025-01-29,2025-03-06,Standard order
Iota Hardware Solutions,CHARG-6752,3809,154.27,ORDERED,2026-05-03,2026-05-24,
Delta Parts Supply,PRINT-1730,3459,108.98,ORDERED,2025-12-20,2026-01-06,
Epsilon Industrial,SEAL-0776,740,54.43,ORDERED,2026-03-30,2026-05-06,Backfill stock
Alpha Components Ltd,WIDGET-9739,3834,30.94,PENDING_APPROVAL,2025-05-16,2025-06-15,
Eta Packaging Co,TOOL-8916,121,5.65,PARTIAL,2025-12-13,2026-01-04,
Alpha Components Ltd,WIDGET-8186,560,9.44,PENDING_APPROVAL,2025-05-24,2025-06-08,Standard order
Gamma Raw Materials,PACK-9169,1837,367.52,DRAFT,2025-02-06,2025-02-20,Standard order
Nu Systems Inc,CART-1117,3153,85.63,APPROVED,2025-04-25,2025-05-02,
Omicron Materials Tech,LABEL-7150,4294,12.79,DRAFT,2025-04-23,2025-05-18,Backfill stock
Beta Manufacturing Inc,TOOL-6973,1929,15.34,RECEIVED,2025-06-05,2025-07-05,Standard order
Kappa Machinery Works,PACK-4216,1156,220.26,PARTIAL,2026-01-31,2026-02-14,
Theta Electronics,CABLE-1779,565,12.11,CANCELLED,2025-06-09,2025-07-06,Backfill stock
Xi Industrial Supply,CASE-9750,3248,27.92,PENDING_APPROVAL,2025-10-10,2025-10-27,Standard order
Xi Industrial Supply,UNIF-2326,2717,23.72,DRAFT,2025-12-06,2026-01-11,
Kappa Machinery Works,FILTER-0033,1447,9.63,APPROVED,2025-05-22,2025-06-24,Promotional order
Delta Parts Supply,PACK-2940,1910,35.89,RECEIVED,2025-11-25,2025-12-20,
Theta Electronics,ELEC-3184,1308,19.38,ORDERED,2025-04-03,2025-04-23,Quarterly restock
Alpha Components Ltd,AUDIO-1735,4342,2.93,CANCELLED,2026-04-19,2026-05-13,Backfill stock
Iota Hardware Solutions,BATT-2915,4230,15.32,ORDERED,2025-07-19,2025-07-29,Urgent requirement
Omicron Materials Tech,CASE-7085,1937,72.84,ORDERED,2026-03-04,2026-04-05,
Nu Systems Inc,SEAL-2862,4700,5.48,PENDING_APPROVAL,2026-03-21,2026-04-16,Standard order
Omicron Materials Tech,PRINT-0681,2155,12.73,ORDERED,2025-11-01,2025-12-16,
Xi Industrial Supply,CHARG-5255,4163,24.59,ORDERED,2025-12-19,2026-01-24,
Mu Engineering Corp,ELEC-4017,3738,31.64,APPROVED,2025-06-21,2025-07-27,Promotional order
Lambda Tools & Dies,BATT-8539,3853,16.09,CANCELLED,2025-06-27,2025-08-02,
Eta Packaging Co,FILTER-4212,4426,206.05,ORDERED,2025-11-09,2025-12-24,Backfill stock
Eta Packaging Co,CASE-5616,2303,123.51,RECEIVED,2025-01-31,2025-02-08,Quarterly restock
Lambda Tools & Dies,ELEC-4920,1964,6.52,CANCELLED,2025-10-28,2025-11-26,Promotional order
Iota Hardware Solutions,CART-2822,1811,11.61,APPROVED,2025-12-07,2025-12-29,Promotional order
Zeta Fabrication,PACK-6836,4266,71.65,CANCELLED,2026-06-21,2026-08-05,
Xi Industrial Supply,PACK-7935,3069,23.44,RECEIVED,2025-06-02,2025-06-09,Promotional order
Xi Industrial Supply,SCAN-8965,55,29.72,CANCELLED,2026-04-23,2026-05-25,Standard order
Nu Systems Inc,SCAN-1278,3043,5.95,DRAFT,2025-04-12,2025-05-08,Standard order
Beta Manufacturing Inc,TOOL-5835,4378,27.68,CANCELLED,2025-06-07,2025-06-27,Standard order
Zeta Fabrication,AUDIO-9987,2289,61.16,DRAFT,2026-01-02,2026-02-12,
Omicron Materials Tech,PACK-5536,369,108.25,ORDERED,2025-07-26,2025-09-09,
Omicron Materials Tech,PRINT-5969,235,6.05,CANCELLED,2025-05-21,2025-06-04,
Beta Manufacturing Inc,GADGET-9890,4610,15.46,RECEIVED,2025-09-29,2025-10-24,Promotional order
Alpha Components Ltd,GADGET-2280,3813,13.35,CANCELLED,2025-01-15,2025-02-15,
