supplier,sku,quantity,unit_price,status,order_date,expected_date,notes
Eta Packaging Co,RACK-4737,1246,19.82,RECEIVED,2025-07-13,2025-08-24,Urgent requirement
Xi Industrial Supply,PRINT-8621,1468,7.72,PENDING_APPROVAL,2026-02-08,2026-03-15,
Mu Engineering Corp,AUDIO-1646,768,20.21,RECEIVED,2025-03-04,2025-04-09,
Delta Parts Supply,SCAN-8241,3947,17.07,APPROVED,2025-07-10,2025-08-13,Backfill stock
Gamma Raw Materials,RACK-3617,301,7.20,CANCELLED,2025-09-21,2025-10-22,Standard order
Epsilon Industrial,LIGHT-8294,1702,19.81,DRAFT,2026-02-27,2026-04-06,Backfill stock
Mu Engineering Corp,CABLE-8851,4924,34.89,CANCELLED,2025-02-22,2025-03-23,Backfill stock
Lambda Tools & Dies,GLOVE-4253,2066,292.99,APPROVED,2026-05-16,2026-06-13,Quarterly restock
Nu Systems Inc,UNIF-9658,4017,63.63,APPROVED,2026-04-15,2026-05-28,Quarterly restock
Gamma Raw Materials,CASE-5569,2874,9.11,RECEIVED,2025-10-14,2025-10-30,Standard order
Alpha Components Ltd,WIDGET-1848,2509,233.23,ORDERED,2025-05-02,2025-05-16,
Theta Electronics,UNIF-5272,2341,4.63,RECEIVED,2025-02-02,2025-03-03,
Mu Engineering Corp,SCAN-8953,3165,7.91,RECEIVED,2026-03-18,2026-05-02,Quarterly restock
Xi Industrial Supply,LIGHT-3882,4690,21.00,RECEIVED,2025-01-09,2025-01-18,Quarterly restock
Lambda Tools & Dies,PACK-5755,1650,63.03,RECEIVED,2025-07-07,2025-08-06,
Mu Engineering Corp,LIGHT-7446,4043,15.79,CANCELLED,2026-01-03,2026-01-20,Backfill stock
Zeta Fabrication,UNIF-8020,311,29.98,DRAFT,2025-04-30,2025-05-11,
Zeta Fabrication,ELEC-8037,1996,17.73,PENDING_APPROVAL,2026-02-26,2026-03-14,Backfill stock
Xi Industrial Supply,RACK-2890,1068,15.64,ORDERED,2025-11-13,2025-12-09,Promotional order
Iota Hardware Solutions,GLOVE-8973,3946,44.23,DRAFT,2025-08-25,2025-09-21,Promotional order
Zeta Fabrication,UNIF-9577,736,43.70,CANCELLED,2025-10-13,2025-11-23,Quarterly restock
Zeta Fabrication,SEAL-2606,4014,19.57,CANCELLED,2025-10-15,2025-11-03,Promotional order
Xi Industrial Supply,ELEC-7053,725,5.39,PARTIAL,2025-05-25,2025-07-06,
Lambda Tools & Dies,CART-7793,4624,9.68,RECEIVED,2026-04-29,2026-06-05,
Beta Manufacturing Inc,FILTER-3642,3302,20.92,DRAFT,2026-03-27,2026-04-25,Urgent requirement
Xi Industrial Supply,PACK-6153,4906,28.17,RECEIVED,2025-05-12,2025-06-22,
Xi Industrial Supply,PACK-8487,2750,111.58,APPROVED,2025-03-22,2025-04-24,Backfill stock
Xi Industrial Supply,RACK-3877,1733,29.03,DRAFT,2025-03-31,2025-04-27,
Nu Systems Inc,PRINT-8879,2652,26.67,PENDING_APPROVAL,2026-02-01,2026-02-16,Standard order
Iota Hardware Solutions,GADGET-6442,130,123.75,ORDERED,2025-09-13,2025-09-30,Promotional order
Lambda Tools & Dies,PACK-2006,4554,34.40,PENDING_APPROVAL,2025-04-02,2025-05-06,
Eta Packaging Co,TOOL-3265,556,20.50,PENDING_APPROVAL,2026-06-12,2026-07-17,Standard order
Lambda Tools & Dies,CASE-8375,2418,35.43,APPROVED,2025-07-23,2025-07-31,Urgent requirement
Theta Electronics,PRINT-4789,2810,20.53,ORDERED,2025-10-25,2025-11-08,Backfill stock
Omicron Materials Tech,SEAL-5675,871,15.24,ORDERED,2025-09-08,2025-09-27,Quarterly restock
Omicron Materials Tech,PACK-3633,2034,6.58,APPROVED,2026-04-13,2026-05-12,
Mu Engineering Corp,UNIF-6222,3358,36.79,DRAFT,2025-07-11,2025-08-08,Urgent requirement
Theta Electronics,PACK-7008,3545,79.27,PARTIAL,2026-01-01,2026-01-09,
Mu Engineering Corp,CABLE-6989,720,36.31,PARTIAL,2026-02-24,2026-03-26,
Xi Industrial Supply,LIGHT-2228,3207,22.46,CANCELLED,2025-04-20,2025-05-13,Standard order
Gamma Raw Materials,CHARG-0230,2179,30.82,PARTIAL,2025-10-18,2025-11-26,Promotional order
Zeta Fabrication,RACK-6354,460,18.04,DRAFT,2025-06-09,2025-06-16,
Beta Manufacturing Inc,PACK-3551,4401,222.78,PENDING_APPROVAL,2025-05-29,2025-07-05,Standard order
Kappa Machinery Works,ELEC-8290,4903,109.46,PARTIAL,2025-04-19,2025-05-30,
Omicron Materials Tech,SCAN-2107,839,2.79,DRAFT,2026-06-22,2026-07-03,
Mu Engineering Corp,PACK-7481,3498,18.92,DRAFT,2026-06-17,2026-07-21,
Lambda Tools & Dies,FILTER-2051,1083,2.55,PARTIAL,2025-03-30,2025-04-27,Quarterly restock
Lambda Tools & Dies,UNIF-3684,1426,14.53,CANCELLED,2026-02-18,2026-03-24,
Nu Systems Inc,TOOL-7988,4057,24.93,DRAFT,2026-04-17,2026-05-12,Promotional order
Beta Manufacturing Inc,AUDIO-5344,1177,16.05,ORDERED,2025-07-06,2025-08-04,
Kappa Machinery Works,AUDIO-8059,3515,4.33,CANCELLED,2026-06-16,2026-07-01,
Eta Packaging Co,SEAL-5531,953,5.97,DRAFT,2026-04-12,2026-04-29,
Beta Manufacturing Inc,FILTER-4127,4431,28.95,PARTIAL,2025-04-06,2025-04-25,Backfill stock
Beta Manufacturing Inc,AUDIO-5469,242,26.41,ORDERED,2025-01-13,2025-02-19,Backfill stock
Kappa Machinery Works,SEAL-8275,3662,29.34,RECEIVED,2025-10-30,2025-12-03,
Epsilon Industrial,CHARG-8829,1216,33.95,CANCELLED,2026-05-16,2026-06-05,Quarterly restock
Beta Manufacturing Inc,CABLE-5406,2720,17.54,ORDERED,2026-04-28,2026-05-22,Urgent requirement
Omicron Materials Tech,PACK-0952,1835,42.12,PENDING_APPROVAL,2025-11-14,2025-12-15,
Alpha Components Ltd,CART-6813,2697,3.14,ORDERED,2025-08-13,2025-09-23,
Nu Systems Inc,CHARG-4804,3976,12.46,APPROVED,2025-03-30,2025-04-16,
Mu Engineering Corp,AUDIO-8498,2089,25.77,DRAFT,2025-01-27,2025-03-02,
Nu Systems Inc,LABEL-2218,3699,3.40,APPROVED,2026-03-08,2026-03-25,Urgent requirement
Omicron Materials Tech,SEAL-8173,453,130.13,PENDING_APPROVAL,2025-08-08,2025-09-08,
Xi Industrial Supply,GLOVE-7441,2146,25.61,DRAFT,2025-09-15,2025-10-04,
Omicron Materials Tech,ELEC-1835,4307,17.91,DRAFT,2025-01-13,2025-02-02,Backfill stock
Alpha Components Ltd,SCAN-4023,2797,15.06,RECEIVED,2025-04-27,2025-06-04,Promotional order
Lambda Tools & Dies,CABLE-0869,1779,19.97,ORDERED,2026-02-11,2026-03-15,Backfill stock
Omicron Materials Tech,SEAL-5893,840,20.22,ORDERED,2026-06-05,2026-07-14,
Mu Engineering Corp,PRINT-7652,4358,263.75,APPROVED,2025-12-25,2026-02-02,
Kappa Machinery Works,PACK-7623,4809,9.38,APPROVED,2025-03-30,2025-05-05,Backfill stock
Eta Packaging Co,TOOL-0888,3126,203.13,PENDING_APPROVAL,2025-08-19,2025-10-01,
Beta Manufacturing Inc,WIDGET-8830,1722,10.76,RECEIVED,2026-06-14,2026-07-16,
Iota Hardware Solutions,SEAL-8881,4730,8.28,DRAFT,2025-01-22,2025-02-12,Quarterly restock
Eta Packaging Co,FILTER-0991,1920,43.16,PENDING_APPROVAL,2025-09-25,2025-10-08,Standard order
Epsilon Industrial,BATT-0645,3678,2.84,DRAFT,2025-08-17,2025-09-06,
Gamma Raw Materials,RACK-4625,4966,5.19,DRAFT,2025-09-12,2025-10-25,
Xi Industrial Supply,TOOL-0497,4473,16.71,RECEIVED,2025-06-18,2025-08-01,
Alpha Components Ltd,CASE-5200,1737,10.64,PARTIAL,2026-03-31,2026-05-02,Standard order
Gamma Raw Materials,RACK-7351,3418,14.25,DRAFT,2025-07-20,2025-08-17,Backfill stock
Lambda Tools & Dies,FILTER-6620,609,16.32,CANCELLED,2025-05-04,2025-06-02,Promotional order
Omicron Materials Tech,UNIF-3133,2541,296.42,RECEIVED,2026-01-07,2026-01-29,Standard order
Gamma Raw Materials,GADGET-0523,4308,19.32,DRAFT,2025-11-16,2025-11-26,Urgent requirement
Xi Industrial Supply,BATT-4583,901,15.23,ORDERED,2025-09-15,2025-10-03,Promotional order
Nu Systems Inc,GLOVE-4068,1833,39.68,CANCELLED,2025-06-02,2025-06-28,Standard order
Epsilon Industrial,PRINT-7207,1065,17.74,ORDERED,2026-02-07,2026-02-24,Standard order
Nu Systems Inc,GLOVE-7685,2461,7.99,RECEIVED,2025-07-01,2025-07-14,Urgent requirement
Xi Industrial Supply,ELEC-8111,1162,17.35,PARTIAL,2025-05-17,2025-05-29,
Omicron Materials Tech,TOOL-7867,2811,12.29,ORDERED,2026-03-08,2026-03-30,Standard order
Delta Parts Supply,CABLE-4487,544,15.51,CANCELLED,2025-03-24,2025-04-26,
Beta Manufacturing Inc,SCAN-6495,3262,59.55,APPROVED,2025-12-26,2026-02-01,Urgent requirement
Eta Packaging Co,FILTER-8705,3601,16.80,CANCELLED,2025-08-08,2025-09-12,
Mu Engineering Corp,LABEL-7578,840,5.09,DRAFT,2025-07-19,2025-09-02,Standard order
Theta Electronics,PACK-7837,58,15.81,DRAFT,2025-05-11,2025-05-28,
Kappa Machinery Works,SEAL-2635,2316,21.02,ORDERED,2026-06-02,2026-06-27,Promotional order
Alpha Components Ltd,WIDGET-3595,4515,15.00,CANCELLED,2025-02-10,2025-03-15,Backfill stock
Eta Packaging Co,FILTER-9242,2569,56.36,CANCELLED,2026-03-01,2026-04-11,Backfill stock
Kappa Machinery Works,PRINT-8376,4035,15.61,PENDING_APPROVAL,2025-07-02,2025-07-09,Promotional order
Mu Engineering Corp,RACK-2314,1416,6.89,ORDERED,2026-05-29,2026-07-05,Urgent requirement
Lambda Tools & Dies,LIGHT-7708,3056,6.23,RECEIVED,2026-05-18,2026-06-28,
Nu Systems Inc,CASE-5369,4015,7.79,PENDING_APPROVAL,2025-01-05,2025-02-18,Quarterly restock
Epsilon Industrial,SEAL-4717,1730,13.09,DRAFT,2025-08-16,2025-08-31,Quarterly restock
Gamma Raw Materials,PACK-7545,3086,10.16,PENDING_APPROVAL,2025-06-17,2025-07-20,
Epsilon Industrial,AUDIO-6119,74,88.96,APPROVED,2026-01-14,2026-02-18,Promotional order
Beta Manufacturing Inc,CASE-9341,1284,7.26,PENDING_APPROVAL,2025-09-17,2025-10-25,
Eta Packaging Co,WIDGET-3301,4600,7.57,PARTIAL,2025-03-02,2025-04-08,Standard order
Alpha Components Ltd,GADGET-2368,2139,30.30,CANCELLED,2026-06-25,2026-07-29,Backfill stock
Beta Manufacturing Inc,PRINT-7534,4863,116.89,CANCELLED,2026-02-03,2026-03-12,Promotional order
Lambda Tools & Dies,PRINT-3668,1713,112.74,RECEIVED,2025-07-20,2025-08-29,
Xi Industrial Supply,SEAL-9076,4247,19.13,CANCELLED,2026-02-13,2026-03-25,Quarterly restock
Zeta Fabrication,UNIF-2012,3715,19.17,RECEIVED,2026-03-21,2026-05-01,Standard order
Omicron Materials Tech,PACK-5712,1528,6.07,DRAFT,2026-05-18,2026-07-02,Promotional order
Theta Electronics,CART-8037,1957,212.38,DRAFT,2026-06-20,2026-06-28,
Iota Hardware Solutions,CHARG-9779,3358,11.99,PENDING_APPROVAL,2025-10-24,2025-11-11,
Alpha Components Ltd,CART-6466,3848,8.08,PENDING_APPROVAL,2026-02-23,2026-03-29,Quarterly restock
Iota Hardware Solutions,TOOL-0927,3732,9.51,RECEIVED,2026-03-31,2026-05-11,
Theta Electronics,AUDIO-9860,3999,45.58,DRAFT,2025-02-16,2025-03-17,
Epsilon Industrial,SEAL-8215,4753,86.87,DRAFT,2026-01-06,2026-01-26,
Epsilon Industrial,GADGET-6955,1342,19.26,DRAFT,2025-02-26,2025-03-20,Promotional order
Gamma Raw Materials,CHARG-9112,3918,13.12,APPROVED,2025-04-22,2025-06-01,Backfill stock
Nu Systems Inc,SCAN-1820,4445,3.30,DRAFT,2025-08-05,2025-08-21,Backfill stock
Alpha Components Ltd,PACK-3903,3034,9.81,ORDERED,2026-02-17,2026-03-09,
Theta Electronics,CABLE-6501,4337,24.41,ORDERED,2025-05-24,2025-07-05,Backfill stock
Xi Industrial Supply,AUDIO-8326,2957,9.98,CANCELLED,2025-01-09,2025-01-17,
Eta Packaging Co,RACK-2639,2243,167.84,APPROVED,2025-01-17,2025-02-13,Standard order
Xi Industrial Supply,CHARG-0471,2593,19.00,RECEIVED,2025-08-17,2025-09-15,
Zeta Fabrication,CHARG-3698,2401,26.81,ORDERED,2025-10-28,2025-12-10,
Beta Manufacturing Inc,GADGET-7985,4141,101.60,ORDERED,2026-04-13,2026-04-29,Quarterly restock
Gamma Raw Materials,CABLE-7034,2568,7.36,DRAFT,2025-11-28,2025-12-20,Promotional order
Alpha Components Ltd,WIDGET-2421,4119,19.22,CANCELLED,2026-01-08,2026-01-18,
Xi Industrial Supply,SEAL-7707,3629,87.48,PARTIAL,2025-02-09,2025-03-08,Standard order
Epsilon Industrial,PACK-3938,4589,7.14,RECEIVED,2025-01-11,2025-01-25,
Iota Hardware Solutions,TOOL-2539,357,14.05,DRAFT,2025-02-25,2025-03-05,
Kappa Machinery Works,SCAN-1326,2900,5.30,APPROVED,2025-08-13,2025-09-26,Quarterly restock
Xi Industrial Supply,CABLE-4234,2148,28.26,ORDERED,2025-12-13,2025-12-31,Promotional order
Gamma Raw Materials,CABLE-1572,2537,179.13,APPROVED,2025-10-14,2025-10-26,Promotional order
Kappa Machinery Works,RACK-9415,3110,125.12,ORDERED,2026-02-16,2026-03-31,Promotional order
Delta Parts Supply,GADGET-3908,4568,17.37,PARTIAL,2025-12-01,2026-01-14,Urgent requirement
Theta Electronics,WIDGET-5722,3616,63.96,DRAFT,2025-01-14,2025-02-17,Promotional order
Eta Packaging Co,ELEC-1044,1198,10.26,APPROVED,2025-02-12,2025-03-23,Standard order
Beta Manufacturing Inc,LABEL-3126,253,6.95,PARTIAL,2025-08-23,2025-10-02,Quarterly restock
Beta Manufacturing Inc,CHARG-5145,1134,146.44,CANCELLED,2026-06-16,2026-07-30,
Gamma Raw Materials,UNIF-9442,1971,25.02,PENDING_APPROVAL,2025-10-21,2025-10-31,
Gamma Raw Materials,TOOL-8233,2992,34.80,CANCELLED,2025-02-23,2025-04-06,Promotional order
Mu Engineering Corp,ELEC-9355,836,7.15,DRAFT,2025-09-26,2025-11-06,
Mu Engineering Corp,UNIF-9294,3499,27.15,PARTIAL,2025-03-11,2025-04-22,Backfill stock
Epsilon Industrial,WIDGET-9736,2030,176.62,CANCELLED,2026-03-15,2026-04-13,Backfill stock
Theta Electronics,TOOL-3060,4142,170.66,DRAFT,2026-01-17,2026-02-09,
Epsilon Industrial,UNIF-7733,352,17.99,PENDING_APPROVAL,2025-08-19,2025-08-27,Urgent requirement
Xi Industrial Supply,PACK-6431,105,198.65,APPROVED,2025-10-06,2025-11-07,Standard order
Zeta Fabrication,WIDGET-1596,1184,52.50,DRAFT,2026-03-04,2026-04-05,
Xi Industrial Supply,PACK-7091,502,4.26,APPROVED,2025-01-22,2025-03-02,
Lambda Tools & Dies,PACK-7501,3557,18.63,PARTIAL,2025-08-06,2025-09-12,Promotional order
Kappa Machinery Works,ELEC-9861,2576,13.59,ORDERED,2025-06-05,2025-07-18,Urgent requirement
Mu Engineering Corp,LIGHT-5335,1298,20.20,CANCELLED,2026-02-01,2026-02-09,Standard order
Alpha Components Ltd,CABLE-7465,3511,14.98,CANCELLED,2025-11-12,2025-11-30,Backfill stock
Lambda Tools & Dies,PRINT-3734,1429,15.75,CANCELLED,2025-02-20,2025-03-07,
Lambda Tools & Dies,SEAL-2190,1971,14.69,RECEIVED,2025-04-22,2025-05-13,Promotional order
Alpha Components Ltd,SCAN-8803,2043,31.46,APPROVED,2025-06-16,2025-07-08,
Iota Hardware Solutions,WIDGET-3397,2578,5.98,PENDING_APPROVAL,2025-07-05,2025-08-13,
Epsilon Industrial,PRINT-2514,3035,2.78,PARTIAL,2026-02-07,2026-03-12,Urgent requirement
Mu Engineering Corp,FILTER-9074,383,55.33,APPROVED,2025-12-25,2026-01-14,Standard order
Zeta Fabrication,GLOVE-6103,485,21.39,APPROVED,2025-08-15,2025-09-25,
Theta Electronics,CART-1746,4636,184.43,ORDERED,2026-04-10,2026-05-04,Standard order
Nu Systems Inc,CASE-8692,4306,31.68,CANCELLED,2025-04-27,2025-05-22,Backfill stock
Eta Packaging Co,SEAL-1519,4937,63.20,DRAFT,2026-04-11,2026-04-23,Urgent requirement
Alpha Components Ltd,SEAL-5955,3449,7.85,ORDERED,2026-03-15,2026-04-25,
Epsilon Industrial,FILTER-5449,1974,241.64,PENDING_APPROVAL,2026-05-25,2026-07-02,
Eta Packaging Co,PACK-9904,2935,467.91,PENDING_APPROVAL,2025-08-23,2025-09-16,Backfill stock
Omicron Materials Tech,CABLE-3818,4646,29.76,PENDING_APPROVAL,2025-07-08,2025-08-08,
Epsilon Industrial,UNIF-5075,932,9.53,DRAFT,2025-11-16,2025-12-17,Quarterly restock
Iota Hardware Solutions,UNIF-3829,3358,20.33,PARTIAL,2025-03-03,2025-04-02,Promotional order
Delta Parts Supply,TOOL-5911,722,197.96,RECEIVED,2025-07-21,2025-08-19,
Beta Manufacturing Inc,ELEC-7280,89,59.64,APPROVED,2026-05-02,2026-05-21,Backfill stock
Epsilon Industrial,LABEL-9465,1618,16.27,PENDING_APPROVAL,2025-08-21,2025-09-04,
Nu Systems Inc,PACK-1248,3386,226.84,PENDING_APPROVAL,2025-12-21,2026-01-30,
Lambda Tools & Dies,UNIF-4479,1664,29.90,RECEIVED,2025-11-18,2025-12-26,Backfill stock
Alpha Components Ltd,UNIF-7331,2568,17.05,CANCELLED,2026-04-08,2026-04-27,
Gamma Raw Materials,RACK-6880,904,14.08,APPROVED,2026-03-26,2026-05-03,Urgent requirement
Eta Packaging Co,ELEC-8304,2039,10.17,APPROVED,2025-05-08,2025-05-20,Urgent requirement
Kappa Machinery Works,FILTER-4272,2784,24.93,RECEIVED,2025-05-10,2025-06-04,Standard order
Zeta Fabrication,CABLE-8420,3588,104.00,APPROVED,2025-01-07,2025-01-18,
Xi Industrial Supply,TOOL-7397,442,160.04,APPROVED,2025-05-01,2025-05-27,Backfill stock
Zeta Fabrication,LIGHT-4022,4082,4.26,DRAFT,2025-04-09,2025-05-09,
Kappa Machinery Works,ELEC-4524,3616,24.98,APPROVED,2025-03-20,2025-04-18,
Delta Parts Supply,LIGHT-7786,3535,8.17,RECEIVED,2025-04-01,2025-04-20,Backfill stock
Beta Manufacturing Inc,PRINT-8052,4201,36.27,DRAFT,2026-05-14,2026-05-28,
Theta Electronics,PRINT-1674,2500,3.15,PARTIAL,2026-01-03,2026-01-16,Backfill stock
Kappa Machinery Works,PRINT-5885,2727,166.48,PARTIAL,2026-05-14,2026-06-03,
Iota Hardware Solutions,GADGET-7652,1482,64.63,RECEIVED,2025-03-21,2025-04-30,Urgent requirement
Iota Hardware Solutions,CHARG-3953,4313,10.38,ORDERED,2025-11-15,2025-12-25,Quarterly restock
Xi Industrial Supply,LABEL-2784,1650,173.11,CANCELLED,2025-02-02,2025-03-10,Urgent requirement
Nu Systems Inc,CASE-6311,2306,21.06,PENDING_APPROVAL,2025-01-23,2025-01-30,
Lambda Tools & Dies,WIDGET-4288,2979,36.09,PARTIAL,2025-02-18,2025-03-29,Standard order
Xi Industrial Supply,UNIF-7855,1940,15.39,PENDING_APPROVAL,2026-05-20,2026-06-20,Promotional order
Mu Engineering Corp,CABLE-7488,1551,52.95,ORDERED,2025-08-16,2025-09-19,
Alpha Components Ltd,CHARG-3401,1247,143.14,DRAFT,2025-12-06,2026-01-19,Urgent requirement
Epsilon Industrial,LABEL-3831,2971,17.45,PENDING_APPROVAL,2025-06-18,2025-07-21,
Epsilon Industrial,RACK-3376,479,4.28,PARTIAL,2026-04-25,2026-05-14,Backfill stock
Xi Industrial Supply,PACK-1582,1645,4.21,PARTIAL,2026-03-21,2026-04-15,Quarterly restock
Eta Packaging Co,GADGET-6224,557,11.74,PARTIAL,2026-04-15,2026-05-02,
Epsilon Industrial,WIDGET-5149,784,23.88,PENDING_APPROVAL,2025-04-28,2025-05-29,Backfill stock
Beta Manufacturing Inc,TOOL-9962,779,29.20,ORDERED,2025-11-14,2025-11-24,Quarterly restock
Mu Engineering Corp,PACK-4728,1469,6.12,ORDERED,2025-05-11,2025-06-21,Quarterly restock
Gamma Raw Materials,LIGHT-8531,2177,17.69,ORDERED,2025-07-12,2025-08-22,
Omicron Materials Tech,RACK-4926,3058,269.34,PENDING_APPROVAL,2025-11-30,2025-12-11,
Epsilon Industrial,GLOVE-5277,1491,61.30,ORDERED,2026-04-15,2026-05-14,
Zeta Fabrication,FILTER-1674,1380,19.63,CANCELLED,2026-06-10,2026-07-08,
Delta Parts Supply,CART-3083,3557,14.44,APPROVED,2026-04-10,2026-04-20,Promotional order
Beta Manufacturing Inc,WIDGET-1283,1423,10.24,PENDING_APPROVAL,2025-08-18,2025-09-27,
Zeta Fabrication,LIGHT-4289,1512,41.42,RECEIVED,2026-06-08,2026-06-28,
Epsilon Industrial,FILTER-7440,2413,97.75,RECEIVED,2025-08-25,2025-09-28,Promotional order
Iota Hardware Solutions,CABLE-5932,1284,6.01,PENDING_APPROVAL,2025-02-06,2025-02-25,
Mu Engineering Corp,AUDIO-5565,1466,42.33,ORDERED,2025-07-20,2025-08-14,
Eta Packaging Co,WIDGET-7087,4412,102.96,CANCELLED,2025-06-05,2025-06-28,
Beta Manufacturing Inc,PACK-7796,2678,3.46,DRAFT,2025-02-17,2025-02-28,Urgent requirement
Nu Systems Inc,LIGHT-0332,1379,17.33,RECEIVED,2025-05-24,2025-06-13,
Zeta Fabrication,ELEC-2931,840,3.11,PENDING_APPROVAL,2025-05-20,2025-06-08,Quarterly restock
Iota Hardware Solutions,PACK-4250,858,26.78,PENDING_APPROVAL,2026-02-24,2026-03-17,Quarterly restock
Eta Packaging Co,CABLE-1865,2466,20.87,ORDERED,2025-04-19,2025-05-17,Urgent requirement
Epsilon Industrial,FILTER-2043,3267,15.25,ORDERED,2026-05-21,2026-07-02,Urgent requirement
Nu Systems Inc,TOOL-2043,2941,56.71,PENDING_APPROVAL,2026-03-09,2026-04-19,Backfill stock
Gamma Raw Materials,LIGHT-2866,3271,28.05,CANCELLED,2025-10-03,2025-11-05,Urgent requirement
Delta Parts Supply,LIGHT-6339,4659,25.03,CANCELLED,2025-12-16,2026-01-20,Standard order
Kappa Machinery Works,LABEL-4053,1491,32.43,DRAFT,2025-12-29,2026-01-23,
Zeta Fabrication,CABLE-7440,4630,10.96,CANCELLED,2025-06-15,2025-07-16,Urgent requirement
Omicron Materials Tech,BATT-3527,2751,6.85,RECEIVED,2025-08-27,2025-09-03,
Iota Hardware Solutions,SCAN-1283,4962,4.22,RECEIVED,2026-03-24,2026-05-01,
Kappa Machinery Works,RACK-9941,4688,20.00,DRAFT,2025-05-07,2025-06-19,Backfill stock
Iota Hardware Solutions,LABEL-4471,3234,29.33,RECEIVED,2025-03-27,2025-05-11,Urgent requirement
Alpha Components Ltd,CABLE-4737,795,4.90,ORDERED,2025-12-01,2026-01-10,
Omicron Materials Tech,LIGHT-7424,1776,16.53,PENDING_APPROVAL,2026-04-30,2026-05-09,Quarterly restock
Iota Hardware Solutions,RACK-9905,3341,3.55,PARTIAL,2026-03-20,2026-04-30,
Xi Industrial Supply,CART-4401,1791,37.59,PENDING_APPROVAL,2025-03-10,2025-03-20,
Zeta Fabrication,TOOL-4993,2123,5.29,PARTIAL,2026-02-17,2026-03-19,Backfill stock
Mu Engineering Corp,LIGHT-1281,199,17.65,ORDERED,2025-03-09,2025-03-18,Promotional order
Lambda Tools & Dies,GADGET-2358,3826,19.29,DRAFT,2025-12-05,2026-01-16,
Kappa Machinery Works,LABEL-9960,1598,21.50,APPROVED,2025-07-28,2025-08-20,Quarterly restock
Delta Parts Supply,ELEC-4289,4697,16.61,PENDING_APPROVAL,2025-04-14,2025-05-01,
Mu Engineering Corp,CART-7099,421,6.41,CANCELLED,2025-01-06,2025-02-14,Standard order
Iota Hardware Solutions,GADGET-4466,441,154.45,CANCELLED,2025-04-29,2025-05-26,Standard order
Nu Systems Inc,CASE-1702,2440,21.22,DRAFT,2025-12-24,2025-12-31,Standard order
Mu Engineering Corp,AUDIO-4363,3975,204.54,PENDING_APPROVAL,2026-02-16,2026-03-09,
Epsilon Industrial,TOOL-2993,1457,2.76,PENDING_APPROVAL,2025-11-24,2025-12-18,Promotional order
Mu Engineering Corp,RACK-2922,2387,16.58,RECEIVED,2026-02-12,2026-02-19,Backfill stock
Gamma Raw Materials,CHARG-0429,4448,18.39,RECEIVED,2025-10-11,2025-10-26,
Lambda Tools & Dies,AUDIO-9359,3328,9.54,CANCELLED,2025-07-10,2025-08-14,
Iota Hardware Solutions,BATT-0314,4706,26.75,PARTIAL,2025-04-15,2025-05-02,Quarterly restock
Epsilon Industrial,PACK-6387,1057,25.94,CANCELLED,2025-02-10,2025-03-27,
Alpha Components Ltd,BATT-0132,3884,202.94,PARTIAL,2026-03-22,2026-04-13,
Xi Industrial Supply,ELEC-5213,684,44.44,RECEIVED,2025-08-07,2025-08-29,Standard order
Theta Electronics,GADGET-2217,2919,16.79,PARTIAL,2026-05-01,2026-05-08,
Alpha Components Ltd,CASE-3862,3881,13.14,PARTIAL,2026-04-17,2026-05-05,
