supplier,sku,quantity,unit_price,status,order_date,expected_date,notes
Delta Parts Supply,LABEL-1416,4083,7.93,DRAFT,2025-11-28,2025-12-19,Promotional order
Delta Parts Supply,WIDGET-0122,1685,14.01,ORDERED,2026-03-02,2026-03-26,
Nu Systems Inc,CHARG-1101,1613,93.14,DRAFT,2026-01-01,2026-01-13,
Iota Hardware Solutions,AUDIO-9998,2431,165.03,RECEIVED,2025-11-05,2025-11-22,Quarterly restock
Eta Packaging Co,PRINT-7084,1667,17.75,PENDING_APPROVAL,2025-01-19,2025-03-04,Urgent requirement
Delta Parts Supply,PRINT-5099,4706,30.32,APPROVED,2026-01-26,2026-02-23,Promotional order
Xi Industrial Supply,PACK-7080,4114,16.55,APPROVED,2026-03-05,2026-03-24,
Beta Manufacturing Inc,CASE-5322,1432,15.08,RECEIVED,2025-05-19,2025-06-08,Quarterly restock
Omicron Materials Tech,FILTER-3545,2579,18.35,RECEIVED,2025-07-11,2025-08-25,
Nu Systems Inc,SCAN-9309,1784,23.36,ORDERED,2025-12-30,2026-02-03,
Zeta Fabrication,CART-3931,1862,3.26,RECEIVED,2026-05-24,2026-05-31,
Epsilon Industrial,WIDGET-7098,2412,16.07,RECEIVED,2025-03-20,2025-04-16,Backfill stock
Alpha Components Ltd,CABLE-5050,2190,6.00,DRAFT,2026-04-09,2026-05-07,Urgent requirement
Beta Manufacturing Inc,PACK-3225,1211,15.80,PENDING_APPROVAL,2025-10-03,2025-11-15,Standard order
Epsilon Industrial,ELEC-0271,2886,9.28,PARTIAL,2026-02-11,2026-03-02,
Omicron Materials Tech,CASE-2739,3854,7.36,PENDING_APPROVAL,2026-02-20,2026-03-15,
Epsilon Industrial,LIGHT-6350,4034,3.00,CANCELLED,2026-05-08,2026-06-11,
Lambda Tools & Dies,CASE-6388,3976,256.99,PENDING_APPROVAL,2026-01-31,2026-03-17,
Mu Engineering Corp,LIGHT-0079,779,39.70,PENDING_APPROVAL,2026-05-15,2026-06-26,Quarterly restock
Nu Systems Inc,ELEC-7409,59,63.38,ORDERED,2026-05-11,2026-05-25,
Beta Manufacturing Inc,CASE-9879,2369,376.92,PARTIAL,2025-12-27,2026-01-10,Backfill stock
Mu Engineering Corp,LABEL-5812,3510,40.15,RECEIVED,2025-02-12,2025-03-04,Backfill stock
Kappa Machinery Works,FILTER-2462,3313,12.68,PARTIAL,2025-07-08,2025-07-25,
Kappa Machinery Works,FILTER-6619,636,25.00,CANCELLED,2025-01-12,2025-02-24,
Eta Packaging Co,TOOL-6040,1440,518.45,PENDING_APPROVAL,2025-12-12,2026-01-16,Urgent requirement
Omicron Materials Tech,CART-8269,2794,65.43,DRAFT,2025-07-15,2025-07-25,Promotional order
Epsilon Industrial,GLOVE-1167,691,12.29,ORDERED,2025-08-06,2025-08-14,Quarterly restock
Omicron Materials Tech,AUDIO-8654,3020,231.59,APPROVED,2025-04-10,2025-04-25,Quarterly restock
Alpha Components Ltd,LABEL-2498,1255,24.54,PENDING_APPROVAL,2025-09-06,2025-10-06,Quarterly restock
Delta Parts Supply,AUDIO-9443,4481,481.63,DRAFT,2025-04-19,2025-05-03,Promotional order
Lambda Tools & Dies,SCAN-9545,4122,13.13,PENDING_APPROVAL,2026-04-14,2026-05-29,Quarterly restock
Theta Electronics,CART-7665,3245,22.06,CANCELLED,2025-06-10,2025-07-02,
Alpha Components Ltd,PRINT-9034,2450,12.78,CANCELLED,2026-01-28,2026-03-02,
Beta Manufacturing Inc,CASE-4190,2181,16.39,ORDERED,2025-10-05,2025-10-24,Urgent requirement
Omicron Materials Tech,PACK-2544,240,6.82,APPROVED,2025-11-02,2025-12-15,Standard order
Kappa Machinery Works,UNIF-7194,1206,32.59,PARTIAL,2026-06-11,2026-06-23,Standard order
Delta Parts Supply,WIDGET-0078,4291,13.42,RECEIVED,2025-08-12,2025-09-25,Standard order
Epsilon Industrial,TOOL-9490,4553,37.18,DRAFT,2026-03-25,2026-05-08,
Delta Parts Supply,LIGHT-0347,2815,26.98,CANCELLED,2025-10-14,2025-11-26,
Alpha Components Ltd,CASE-4635,2008,58.58,CANCELLED,2025-06-20,2025-08-02,Urgent requirement
Gamma Raw Materials,UNIF-4604,2210,37.74,ORDERED,2025-03-30,2025-04-30,Promotional order
Lambda Tools & Dies,SEAL-2931,2286,37.79,PARTIAL,2025-12-05,2025-12-19,
Delta Parts Supply,CABLE-3941,4194,23.05,DRAFT,2025-11-24,2025-12-31,Backfill stock
Beta Manufacturing Inc,GADGET-3980,3948,3.50,PENDING_APPROVAL,2026-03-01,2026-03-29,Backfill stock
Beta Manufacturing Inc,FILTER-2108,3000,132.61,APPROVED,2025-03-27,2025-04-30,Promotional order
Zeta Fabrication,GLOVE-8471,650,32.55,CANCELLED,2025-10-12,2025-11-15,
Xi Industrial Supply,UNIF-4501,3972,29.63,PENDING_APPROVAL,2025-03-02,2025-03-15,Urgent requirement
Omicron Materials Tech,BATT-9895,877,18.90,CANCELLED,2025-12-16,2025-12-30,Standard order
Iota Hardware Solutions,PACK-8613,715,38.15,DRAFT,2025-04-07,2025-05-02,
Alpha Components Ltd,CABLE-3135,3086,130.04,RECEIVED,2026-02-11,2026-03-22,Quarterly restock
Iota Hardware Solutions,RACK-0242,847,17.76,PARTIAL,2025-04-27,2025-05-12,Promotional order
Zeta Fabrication,SEAL-3733,718,9.72,ORDERED,2026-02-09,2026-02-19,Quarterly restock
Theta Electronics,ELEC-6506,4645,163.50,PARTIAL,2025-10-09,2025-11-14,
Beta Manufacturing Inc,CART-1257,1678,133.77,ORDERED,2026-03-31,2026-04-09,
Beta Manufacturing Inc,WIDGET-4187,3935,53.84,RECEIVED,2025-02-01,2025-02-19,Quarterly restock
Beta Manufacturing Inc,LIGHT-1864,694,25.54,PENDING_APPROVAL,2025-11-15,2025-11-27,Backfill stock
Mu Engineering Corp,AUDIO-0343,2294,10.38,PARTIAL,2026-04-21,2026-06-01,Backfill stock
Gamma Raw Materials,FILTER-9218,3430,41.40,CANCELLED,2025-01-17,2025-01-25,Standard order
Kappa Machinery Works,LABEL-6878,4358,60.10,APPROVED,2026-01-04,2026-01-11,Urgent requirement
Epsilon Industrial,ELEC-5965,781,16.48,DRAFT,2025-08-08,2025-08-16,
Nu Systems Inc,PACK-6393,627,9.01,RECEIVED,2025-04-19,2025-05-20,
Iota Hardware Solutions,CHARG-6780,2596,160.46,PENDING_APPROVAL,2025-02-01,2025-03-18,
Gamma Raw Materials,UNIF-5072,4336,45.21,PARTIAL,2026-02-03,2026-03-18,
Kappa Machinery Works,CABLE-3709,2350,26.06,DRAFT,2025-12-01,2025-12-31,
Gamma Raw Materials,CASE-8167,3828,49.98,PENDING_APPROVAL,2026-02-24,2026-03-15,
Gamma Raw Materials,WIDGET-9551,659,2.40,RECEIVED,2025-10-07,2025-11-20,Backfill stock
Beta Manufacturing Inc,GLOVE-2582,1636,52.09,DRAFT,2025-03-06,2025-04-10,Urgent requirement
Mu Engineering Corp,PACK-6939,4367,6.05,ORDERED,2025-05-18,2025-05-31,
Nu Systems Inc,CART-9437,1815,3.76,APPROVED,2025-02-22,2025-03-20,
Alpha Components Ltd,PACK-7481,773,67.95,APPROVED,2026-02-02,2026-03-03,
Xi Industrial Supply,CHARG-1653,3559,28.73,ORDERED,2026-04-14,2026-04-27,
Theta Electronics,ELEC-1363,1023,7.95,ORDERED,2025-01-19,2025-02-01,Urgent requirement
Mu Engineering Corp,FILTER-8626,4692,33.17,PARTIAL,2026-03-09,2026-04-16,Quarterly restock
Nu Systems Inc,SEAL-2989,3011,16.02,ORDERED,2026-03-08,2026-03-20,
Alpha Components Ltd,AUDIO-3073,2894,75.54,PARTIAL,2025-09-22,2025-11-02,Urgent requirement
Xi Industrial Supply,UNIF-6846,587,16.77,CANCELLED,2026-06-13,2026-07-02,Urgent requirement
Xi Industrial Supply,CHARG-3345,2345,5.83,PARTIAL,2026-05-23,2026-07-03,
Delta Parts Supply,CABLE-2030,77,48.81,PENDING_APPROVAL,2025-08-11,2025-08-18,Urgent requirement
Epsilon Industrial,WIDGET-0778,2075,17.59,CANCELLED,2026-03-07,2026-04-05,Backfill stock
Xi Industrial Supply,RACK-0261,918,18.38,APPROVED,2026-03-20,2026-04-17,Urgent requirement
Gamma Raw Materials,PACK-7375,4541,12.22,RECEIVED,2025-02-17,2025-03-16,Urgent requirement
Gamma Raw Materials,LABEL-9861,4667,20.43,PENDING_APPROVAL,2026-02-09,2026-03-26,Standard order
Nu Systems Inc,SCAN-9427,962,9.95,CANCELLED,2026-06-19,2026-07-22,Backfill stock
Iota Hardware Solutions,CART-3076,3166,9.39,ORDERED,2025-03-23,2025-04-25,Promotional order
Eta Packaging Co,LABEL-7783,594,6.99,ORDERED,2025-11-22,2025-12-10,
Mu Engineering Corp,RACK-4902,1523,7.07,APPROVED,2025-10-06,2025-11-16,
Omicron Materials Tech,CART-8917,770,203.82,RECEIVED,2025-05-22,2025-06-14,
Xi Industrial Supply,BATT-7286,3919,63.76,CANCELLED,2026-04-29,2026-05-27,
Alpha Components Ltd,FILTER-7045,1385,20.65,CANCELLED,2025-03-24,2025-05-04,
Theta Electronics,UNIF-9695,3064,9.45,PARTIAL,2025-04-26,2025-06-08,Promotional order
Iota Hardware Solutions,LABEL-1020,3640,17.02,DRAFT,2025-11-02,2025-11-19,Urgent requirement
Beta Manufacturing Inc,AUDIO-4530,4456,19.90,RECEIVED,2025-06-28,2025-08-08,Standard order
Omicron Materials Tech,CASE-0273,2449,5.87,ORDERED,2026-03-24,2026-04-12,
Xi Industrial Supply,LABEL-3031,1816,3.19,ORDERED,2025-08-21,2025-09-11,Urgent requirement
Iota Hardware Solutions,RACK-0189,2031,20.86,APPROVED,2025-11-14,2025-12-16,Backfill stock
Nu Systems Inc,AUDIO-2927,564,77.35,PARTIAL,2025-11-26,2025-12-21,
Iota Hardware Solutions,SEAL-1667,4040,6.72,RECEIVED,2025-07-12,2025-07-22,
Kappa Machinery Works,WIDGET-9387,672,101.81,RECEIVED,2026-05-28,2026-06-21,
Theta Electronics,SEAL-1117,3862,11.68,APPROVED,2025-05-01,2025-05-13,Urgent requirement
Delta Parts Supply,PACK-6619,1385,29.78,ORDERED,2025-05-17,2025-05-28,Urgent requirement
Mu Engineering Corp,PRINT-9750,325,6.81,APPROVED,2026-04-10,2026-05-24,
Zeta Fabrication,WIDGET-0393,498,20.67,DRAFT,2025-12-19,2026-01-22,
Lambda Tools & Dies,AUDIO-0677,3116,21.71,ORDERED,2026-01-17,2026-02-20,Quarterly restock
Nu Systems Inc,BATT-0357,1391,33.08,PARTIAL,2025-07-03,2025-08-14,Promotional order
Kappa Machinery Works,WIDGET-5250,1638,4.86,RECEIVED,2025-08-21,2025-09-27,
Mu Engineering Corp,WIDGET-7478,1563,24.04,PENDING_APPROVAL,2025-06-06,2025-06-30,Promotional order
Xi Industrial Supply,CABLE-3727,3863,13.12,ORDERED,2026-05-19,2026-06-25,Backfill stock
Omicron Materials Tech,PACK-6357,4517,26.45,PENDING_APPROVAL,2025-10-11,2025-10-25,Backfill stock
Iota Hardware Solutions,CASE-2560,3478,178.61,PARTIAL,2026-06-05,2026-07-17,Urgent requirement
Omicron Materials Tech,GLOVE-7231,2990,12.90,APPROVED,2026-03-24,2026-04-22,
Lambda Tools & Dies,LABEL-8998,3095,11.00,APPROVED,2025-03-31,2025-05-14,Quarterly restock
Epsilon Industrial,CABLE-7348,4701,101.93,PARTIAL,2025-05-11,2025-06-22,
Beta Manufacturing Inc,PACK-5667,1232,15.99,ORDERED,2025-08-01,2025-08-28,Standard order
Beta Manufacturing Inc,CART-7651,3986,8.61,APPROVED,2025-03-11,2025-04-04,Backfill stock
Iota Hardware Solutions,GLOVE-7950,3665,22.00,ORDERED,2025-07-21,2025-09-03,
Lambda Tools & Dies,TOOL-0299,1633,45.42,ORDERED,2025-07-03,2025-08-10,
Xi Industrial Supply,RACK-6852,498,3.19,PARTIAL,2026-06-19,2026-07-20,
Lambda Tools & Dies,CASE-2863,125,20.14,DRAFT,2025-11-29,2026-01-05,Backfill stock
Eta Packaging Co,BATT-2364,620,8.61,CANCELLED,2026-02-21,2026-03-21,Standard order
Iota Hardware Solutions,PACK-5210,978,3.34,PENDING_APPROVAL,2025-03-07,2025-04-01,Standard order
Lambda Tools & Dies,AUDIO-8541,1076,235.41,RECEIVED,2026-05-11,2026-05-21,
Lambda Tools & Dies,UNIF-7000,2629,30.66,APPROVED,2026-03-24,2026-04-26,Urgent requirement
Nu Systems Inc,ELEC-8097,165,3.84,PARTIAL,2026-03-01,2026-04-06,Urgent requirement
Beta Manufacturing Inc,FILTER-6056,1401,14.32,DRAFT,2025-05-17,2025-06-09,
Omicron Materials Tech,PACK-5487,1313,63.75,ORDERED,2026-04-09,2026-04-28,
Beta Manufacturing Inc,PACK-8897,2003,7.82,CANCELLED,2025-07-04,2025-07-21,
Mu Engineering Corp,ELEC-1353,1805,124.84,DRAFT,2025-03-03,2025-03-19,Standard order
Mu Engineering Corp,CHARG-9843,4300,30.47,CANCELLED,2025-09-18,2025-10-23,
Xi Industrial Supply,FILTER-5897,3708,13.47,RECEIVED,2025-08-10,2025-08-26,Quarterly restock
Delta Parts Supply,SCAN-1119,1592,11.67,RECEIVED,2025-03-09,2025-04-20,Promotional order
Eta Packaging Co,PACK-9506,2201,453.15,APPROVED,2026-06-10,2026-06-17,Backfill stock
Eta Packaging Co,SCAN-8454,4123,16.03,CANCELLED,2026-04-10,2026-05-07,Backfill stock
Nu Systems Inc,FILTER-6996,1210,9.48,RECEIVED,2025-07-14,2025-08-19,Urgent requirement
Lambda Tools & Dies,CABLE-4251,2498,11.10,PARTIAL,2025-10-11,2025-11-09,Urgent requirement
Kappa Machinery Works,GADGET-6220,3320,11.57,ORDERED,2026-06-22,2026-07-11,Urgent requirement
Xi Industrial Supply,SEAL-2410,3537,10.82,APPROVED,2026-05-30,2026-07-10,
Gamma Raw Materials,CHARG-4390,2511,7.84,PENDING_APPROVAL,2025-03-26,2025-04-11,Backfill stock
Nu Systems Inc,CABLE-0703,4794,14.74,PARTIAL,2025-09-09,2025-10-22,Urgent requirement
Kappa Machinery Works,UNIF-1509,705,5.77,PENDING_APPROVAL,2025-03-17,2025-04-14,Standard order
Gamma Raw Materials,PRINT-8320,2949,16.57,PARTIAL,2025-10-13,2025-10-22,
Epsilon Industrial,ELEC-6353,2769,71.90,ORDERED,2025-01-09,2025-01-16,
Theta Electronics,GLOVE-6092,683,369.70,DRAFT,2025-07-30,2025-08-17,Quarterly restock
Mu Engineering Corp,SEAL-0436,3947,102.91,CANCELLED,2026-04-21,2026-05-30,Backfill stock
Delta Parts Supply,BATT-6983,3881,25.92,APPROVED,2026-03-09,2026-04-02,Promotional order
Beta Manufacturing Inc,GADGET-3422,1199,22.37,PARTIAL,2025-12-29,2026-01-21,Promotional order
Theta Electronics,SEAL-7883,1984,41.20,PARTIAL,2025-12-18,2026-01-28,Quarterly restock
Beta Manufacturing Inc,SCAN-6928,2324,19.51,PARTIAL,2026-03-06,2026-04-16,Quarterly restock
Gamma Raw Materials,CHARG-3376,813,10.45,DRAFT,2025-06-02,2025-07-01,
Iota Hardware Solutions,UNIF-8515,1651,390.31,PENDING_APPROVAL,2025-01-22,2025-02-28,Standard order
Epsilon Industrial,ELEC-2091,2752,4.84,ORDERED,2026-04-07,2026-04-17,
Theta Electronics,SCAN-3055,2508,26.07,CANCELLED,2025-12-18,2026-01-13,
Zeta Fabrication,PRINT-9872,3638,37.85,CANCELLED,2025-04-23,2025-05-23,
Nu Systems Inc,UNIF-7971,1777,36.09,PENDING_APPROVAL,2025-11-02,2025-11-19,
Nu Systems Inc,CASE-5199,4976,8.65,PARTIAL,2025-10-14,2025-11-17,Backfill stock
Zeta Fabrication,UNIF-3502,865,25.19,DRAFT,2025-07-16,2025-08-14,
Iota Hardware Solutions,GLOVE-2216,3146,32.17,RECEIVED,2026-04-30,2026-05-29,Urgent requirement
Xi Industrial Supply,BATT-8043,631,58.17,APPROVED,2025-07-08,2025-07-22,Urgent requirement
Gamma Raw Materials,AUDIO-9008,3645,70.30,PARTIAL,2025-02-01,2025-03-11,Promotional order
Eta Packaging Co,SEAL-5040,4712,12.25,RECEIVED,2025-11-17,2025-12-31,Urgent requirement
Mu Engineering Corp,PRINT-1917,4663,10.38,CANCELLED,2025-10-01,2025-10-22,Promotional order
Zeta Fabrication,SEAL-2352,1597,174.99,DRAFT,2025-06-26,2025-07-07,Standard order
Xi Industrial Supply,ELEC-8336,3913,24.17,DRAFT,2025-02-11,2025-03-24,Quarterly restock
Gamma Raw Materials,CABLE-0903,2990,95.90,PENDING_APPROVAL,2025-02-13,2025-03-26,Promotional order
Kappa Machinery Works,PACK-6283,453,9.25,DRAFT,2025-10-26,2025-11-29,
Beta Manufacturing Inc,LABEL-1910,177,17.14,CANCELLED,2025-07-05,2025-07-28,
Xi Industrial Supply,PACK-9262,866,39.20,PENDING_APPROVAL,2025-02-15,2025-03-19,
Zeta Fabrication,GADGET-6601,4268,9.46,PARTIAL,2026-01-09,2026-02-14,
Nu Systems Inc,GADGET-2996,3858,25.45,DRAFT,2025-09-02,2025-10-01,Urgent requirement
Gamma Raw Materials,CASE-5575,177,11.00,PENDING_APPROVAL,2025-05-10,2025-06-15,Urgent requirement
Omicron Materials Tech,PACK-2532,2305,19.95,ORDERED,2025-09-21,2025-10-18,
Omicron Materials Tech,CASE-6252,4447,2.85,ORDERED,2025-09-18,2025-10-21,Standard order
Epsilon Industrial,BATT-8275,2548,18.15,CANCELLED,2025-01-14,2025-01-28,Promotional order
Nu Systems Inc,LABEL-4311,1617,18.82,ORDERED,2025-04-10,2025-04-18,
Delta Parts Supply,UNIF-2922,1610,12.88,CANCELLED,2025-08-17,2025-09-07,
Eta Packaging Co,BATT-2315,1762,102.08,DRAFT,2025-04-29,2025-05-27,Backfill stock
Beta Manufacturing Inc,GLOVE-8091,3366,5.16,ORDERED,2026-03-24,2026-04-05,Urgent requirement
Mu Engineering Corp,PRINT-0827,342,12.98,PARTIAL,2025-03-30,2025-04-13,
Gamma Raw Materials,PRINT-4394,4142,74.30,PARTIAL,2025-08-09,2025-08-29,Backfill stock
Iota Hardware Solutions,RACK-1397,2386,31.92,PARTIAL,2026-02-03,2026-02-24,Standard order
Zeta Fabrication,PACK-5751,4356,39.72,PARTIAL,2026-05-08,2026-06-07,
Nu Systems Inc,FILTER-7552,2741,30.93,PENDING_APPROVAL,2025-04-23,2025-06-01,Promotional order
Mu Engineering Corp,CART-2226,1627,12.32,RECEIVED,2025-10-15,2025-11-08,Backfill stock
Eta Packaging Co,CART-5238,185,28.00,RECEIVED,2025-03-31,2025-04-22,
Mu Engineering Corp,CASE-1789,4548,19.59,PENDING_APPROVAL,2025-06-14,2025-07-16,Backfill stock
Zeta Fabrication,LABEL-0753,588,12.87,ORDERED,2025-09-13,2025-10-04,
Lambda Tools & Dies,GADGET-1095,436,7.08,ORDERED,2025-02-15,2025-03-16,Backfill stock
Nu Systems Inc,RACK-7970,729,14.83,PENDING_APPROVAL,2025-03-22,2025-03-31,Quarterly restock
Omicron Materials Tech,PACK-2704,3986,5.55,CANCELLED,2025-01-01,2025-02-04,Urgent requirement
Epsilon Industrial,ELEC-8282,3602,507.73,DRAFT,2026-01-04,2026-02-04,
Xi Industrial Supply,ELEC-1392,4605,15.30,PENDING_APPROVAL,2025-03-31,2025-04-08,
Zeta Fabrication,UNIF-7058,2542,42.49,CANCELLED,2025-09-01,2025-09-09,
Zeta Fabrication,AUDIO-3248,3141,25.35,APPROVED,2025-05-18,2025-06-26,
Kappa Machinery Works,ELEC-8455,3361,35.89,APPROVED,2026-02-09,2026-03-22,
Delta Parts Supply,CHARG-5197,2301,221.95,APPROVED,2025-06-23,2025-07-11,Urgent requirement
Eta Packaging Co,RACK-9395,1304,20.79,PARTIAL,2025-09-04,2025-09-14,Urgent requirement
Delta Parts Supply,PACK-8761,533,291.59,APPROVED,2026-02-20,2026-03-14,Backfill stock
Mu Engineering Corp,CASE-1588,371,17.36,CANCELLED,2025-08-27,2025-09-21,Promotional order
Omicron Materials Tech,TOOL-9962,1577,20.43,PENDING_APPROVAL,2026-04-09,2026-05-14,Promotional order
Epsilon Industrial,GADGET-8138,4825,252.89,PENDING_APPROVAL,2026-05-29,2026-06-10,Standard order
Eta Packaging Co,GLOVE-1410,4072,19.98,DRAFT,2025-01-07,2025-01-28,Backfill stock
Alpha Components Ltd,BATT-0873,4075,43.85,ORDERED,2025-11-15,2025-12-12,
Nu Systems Inc,CHARG-1729,3930,235.19,PARTIAL,2025-10-06,2025-11-15,Urgent requirement
Alpha Components Ltd,GADGET-0464,175,16.70,DRAFT,2025-06-22,2025-07-06,Backfill stock
Xi Industrial Supply,CART-9647,200,26.23,DRAFT,2025-04-06,2025-04-28,Quarterly restock
Beta Manufacturing Inc,PACK-9152,689,161.24,CANCELLED,2026-05-19,2026-06-04,Backfill stock
Epsilon Industrial,AUDIO-7345,3494,10.44,DRAFT,2026-06-15,2026-07-11,
Iota Hardware Solutions,RACK-1617,3108,229.07,CANCELLED,2025-07-20,2025-08-09,
Zeta Fabrication,SCAN-7261,2585,17.30,RECEIVED,2025-04-17,2025-05-12,
Mu Engineering Corp,ELEC-9884,1566,74.35,CANCELLED,2026-06-08,2026-06-29,Promotional order
Iota Hardware Solutions,CABLE-6159,2897,6.36,ORDERED,2026-01-23,2026-03-05,Standard order
Gamma Raw Materials,PACK-6606,3420,464.44,ORDERED,2025-06-11,2025-07-17,
Lambda Tools & Dies,WIDGET-8231,3526,6.35,CANCELLED,2025-10-31,2025-12-11,
Zeta Fabrication,SCAN-7372,3673,31.20,ORDERED,2026-05-18,2026-06-21,
Delta Parts Supply,PRINT-8307,178,78.36,APPROVED,2025-02-04,2025-03-09,Quarterly restock
Delta Parts Supply,PRINT-4067,3940,127.70,PENDING_APPROVAL,2025-09-02,2025-09-26,
Nu Systems Inc,CASE-1530,1489,7.49,PARTIAL,2026-02-19,2026-03-19,
Alpha Components Ltd,LABEL-4029,4511,4.74,ORDERED,2025-01-04,2025-02-03,Quarterly restock
Beta Manufacturing Inc,LABEL-3443,1158,40.47,DRAFT,2025-12-07,2026-01-15,
Lambda Tools & Dies,CART-9565,1421,225.71,DRAFT,2025-06-18,2025-07-05,
Zeta Fabrication,GLOVE-6527,1835,37.67,PARTIAL,2025-08-09,2025-09-16,Urgent requirement
Theta Electronics,SCAN-9538,610,75.15,DRAFT,2026-03-04,2026-03-19,Promotional order
Lambda Tools & Dies,PRINT-1362,2882,10.01,APPROVED,2025-10-28,2025-11-09,
Epsilon Industrial,LABEL-0051,4522,11.43,ORDERED,2026-05-15,2026-05-29,Standard order
Mu Engineering Corp,LABEL-2595,2451,455.11,APPROVED,2026-01-22,2026-02-13,Backfill stock
Delta Parts Supply,SEAL-6123,435,405.10,ORDERED,2025-05-25,2025-06-26,
Gamma Raw Materials,CHARG-0178,4190,64.24,PARTIAL,2026-05-20,2026-05-30,Standard order
Omicron Materials Tech,AUDIO-2338,877,6.03,ORDERED,2026-03-11,2026-04-15,Urgent requirement
Beta Manufacturing Inc,SCAN-1256,4234,5.08,DRAFT,2025-01-08,2025-02-01,
Mu Engineering Corp,SCAN-9377,4953,65.19,DRAFT,2026-05-03,2026-05-15,Urgent requirement
Gamma Raw Materials,BATT-1291,2034,31.41,PARTIAL,2026-02-12,2026-02-21,
Alpha Components Ltd,LIGHT-5120,3202,30.11,RECEIVED,2025-04-03,2025-05-10,Promotional order
Epsilon Industrial,TOOL-7905,2153,17.08,CANCELLED,2025-12-20,2026-01-19,Backfill stock
Zeta Fabrication,TOOL-3004,2076,21.99,APPROVED,2026-01-08,2026-02-21,Standard order
Eta Packaging Co,CASE-1428,2908,144.63,PENDING_APPROVAL,2025-01-25,2025-02-13,
Delta Parts Supply,AUDIO-8398,3425,22.57,APPROVED,2025-01-20,2025-01-30,
Omicron Materials Tech,CASE-4292,1760,26.15,CANCELLED,2025-11-21,2025-11-28,Standard order
Kappa Machinery Works,TOOL-6771,3047,43.15,ORDERED,2025-01-21,2025-02-22,
Kappa Machinery Works,SEAL-7863,4026,18.11,CANCELLED,2025-08-01,2025-08-24,Standard order
Epsilon Industrial,FILTER-2453,2294,15.28,ORDERED,2025-10-09,2025-11-22,Standard order
Lambda Tools & Dies,FILTER-3541,2885,11.56,RECEIVED,2025-09-29,2025-10-18,
Mu Engineering Corp,TOOL-8532,2321,79.57,ORDERED,2025-08-02,2025-09-16,Quarterly restock
Kappa Machinery Works,CHARG-6620,3031,29.18,PENDING_APPROVAL,2025-05-29,2025-07-04,Standard order
Alpha Components Ltd,GADGET-4903,4824,30.08,ORDERED,2025-10-14,2025-11-05,Backfill stock
Nu Systems Inc,GLOVE-0424,4645,27.04,PENDING_APPROVAL,2025-01-18,2025-02-17,Urgent requirement
Omicron Materials Tech,SCAN-1558,3189,16.79,RECEIVED,2025-06-05,2025-06-27,
Gamma Raw Materials,FILTER-9545,1852,11.19,ORDERED,2026-01-05,2026-02-12,Standard order
Beta Manufacturing Inc,SCAN-2767,2450,106.98,PENDING_APPROVAL,2026-06-08,2026-06-28,Urgent requirement
Omicron Materials Tech,WIDGET-7006,1468,124.11,DRAFT,2026-06-09,2026-06-29,Quarterly restock
Epsilon Industrial,PACK-1900,3445,15.42,ORDERED,2026-04-06,2026-05-08,Standard order
Lambda Tools & Dies,RACK-7156,114,15.71,DRAFT,2025-04-08,2025-05-15,Quarterly restock
Kappa Machinery Works,CABLE-3886,1921,30.77,PENDING_APPROVAL,2025-08-03,2025-09-02,Promotional order
